UID,WID,Understand,attempt,time,distance
60911060,127,3,1,70625,8114.93
60911060,129,3,1,77353,7946.76
60911060,138,2,1,42369,6142.06
60911060,139,2,1,64470,9158.76
60911060,141,2,1,49109,6372.91
60911060,143,3,1,19431,3432.46
60911060,147,2,1,154671,15395.5
60911060,160,2,1,107144,9045.44
60911060,161,2,1,104113,13977.1
60911060,162,3,1,22637,3101.93
60911060,176,2,1,75616,8274.05
60911060,181,2,1,107743,5983.68
60911060,184,3,1,32769,6177.39
60911060,186,2,1,83000,8535.22
60911060,191,2,1,68957,11080.9
60911065,22,4,1,21505,4054.63
60911065,32,4,1,25233,3398.38
60911065,45,3,1,48047,6202.7
60911065,46,4,1,34437,4921.64
60911065,54,4,1,39122,6213.16
60911065,58,4,1,16981,4381.17
60911065,59,4,1,20667,3513.11
60911065,60,4,1,36194,4086.51
60911065,61,4,1,53544,7009.61
60911065,67,4,1,45734,5861.37
60911065,68,3,1,45166,5362.42
60911065,76,2,1,105759,7352.05
60911065,89,4,1,56330,7449.2
60911065,92,4,1,72292,7361.25
60911065,99,3,1,67172,5661.02
60911065,127,4,1,84036,10769
60911065,129,3,1,49464,4138.35
60911065,138,4,1,14292,4034
60911065,139,3,1,81042,7757.82
60911065,141,2,1,83171,9203.31
60911065,143,4,1,20833,3316.03
60911065,147,2,1,208941,13494.5
60911065,160,2,1,103671,12159.1
60911065,161,2,1,119388,16514.5
60911065,162,4,1,18784,2561.24
60911065,176,4,1,30719,4110.13
60911065,181,3,1,40797,6530.71
60911065,184,2,1,136743,9744.9
60911065,186,3,1,50427,4717.5
60911065,191,2,1,118419,11496.2
60911069,22,4,1,12777,4239.8
60911069,32,4,1,19985,3882.61
60911069,45,2,1,63463,7854.42
60911069,46,3,1,20828,4725.89
60911069,54,2,1,76034,8595.29
60911069,58,2,1,65584,5932.02
60911069,59,2,1,80730,6095.71
60911069,60,2,1,30265,4592.82
60911069,61,4,1,120819,10228.6
60911069,67,3,1,18767,4061.72
60911069,68,3,1,33458,6455.83
60911069,76,2,1,124104,9042.47
60911069,89,4,1,52949,7417.19
60911069,92,2,1,75409,5800.61
60911069,99,2,1,69784,4610.39
60911069,127,2,1,197335,16324.7
60911069,129,2,1,29285,4681.32
60911069,138,2,1,94314,8521.11
60911069,139,2,1,63088,7786.32
60911069,141,2,1,196666,12775.6
60911069,143,4,1,15552,2844.38
60911069,147,2,1,138400,16988.8
60911069,160,2,1,78280,8518.04
60911069,161,2,1,84512,9210.67
60911069,162,2,1,27569,3512.84
60911069,176,2,1,39480,6095.18
60911069,181,2,1,42627,5138.76
60911069,184,2,1,86447,8161.77
60911069,186,2,1,42838,6846.65
60911069,191,3,1,23114,6857.97
60911072,22,4,1,16638,3633.86
60911072,32,4,1,26086,4255.41
60911072,45,3,1,32400,4678.17
60911072,46,4,1,23140,3766.83
60911072,54,4,1,30176,6802.69
60911072,58,3,1,20570,4837.67
60911072,59,3,1,38521,6392.18
60911072,60,2,1,75183,6073.64
60911072,61,4,1,21961,4890.16
60911072,67,4,1,22249,4598.83
60911072,68,4,1,21031,4268.18
60911072,76,2,1,77060,14141.9
60911072,89,4,1,24952,4474.9
60911072,92,3,1,28391,5075.15
60911072,99,2,1,30672,5532.53
60911072,127,2,1,33033,5257.27
60911072,129,2,1,45809,7252.76
60911072,138,2,1,33681,5680.76
60911072,139,2,1,70467,10790.8
60911072,141,2,1,70216,11674.7
60911072,143,4,1,13640,3183.92
60911072,147,2,1,147528,19391.9
60911072,160,2,1,54929,10053.1
60911072,161,2,1,117157,14939.5
60911072,162,2,1,38319,5778.6
60911072,176,2,1,54080,8542.17
60911072,181,3,1,38016,7451.84
60911072,184,2,1,70181,7982.63
60911072,186,3,1,29419,7520.84
60911072,191,4,1,43455,7538.24
90910001,22,4,1,12648,3631.6
90910001,32,4,1,24247,6008.45
90910001,45,3,1,50710,8384.04
90910001,46,3,1,50908,6041.26
90910001,54,4,1,43296,8023.56
90910001,58,2,1,56560,11794
90910001,59,3,1,28233,6628.38
90910001,60,4,1,37090,7183.03
90910001,61,2,1,66304,13000.7
90910001,67,4,1,11735,2932.85
90910001,68,3,1,32613,5136.87
90910001,76,2,1,94912,13970.8
90910001,89,4,1,26345,6516.38
